# column 1: wavelength (micron)
# column 2: total flux; lambda*F_lambda (W/m2)
# column 3: transparent flux; lambda*F_lambda (W/m2)
# column 4: direct primary flux; lambda*F_lambda (W/m2)
# column 5: scattered primary flux; lambda*F_lambda (W/m2)
# column 6: direct secondary flux; lambda*F_lambda (W/m2)
# column 7: scattered secondary flux; lambda*F_lambda (W/m2)
1.000000000e-03 6.657018082e-12 8.927263946e-12 6.653494112e-12 3.523970111e-15 0.000000000e+00 0.000000000e+00
1.188502227e-03 1.434550550e-11 2.090632187e-11 1.432587490e-11 1.963060052e-14 0.000000000e+00 0.000000000e+00
1.412537545e-03 1.613454662e-11 2.595412307e-11 1.585753578e-11 2.770108452e-13 0.000000000e+00 0.000000000e+00
1.678804018e-03 1.871159744e-11 3.205960570e-11 1.867079538e-11 4.080205265e-14 0.000000000e+00 0.000000000e+00
1.995262315e-03 1.934050228e-11 3.901277125e-11 1.924320956e-11 9.729271623e-14 0.000000000e+00 0.000000000e+00
2.371373706e-03 2.237352406e-11 4.820242769e-11 2.222375153e-11 1.497725390e-13 0.000000000e+00 0.000000000e+00
2.818382931e-03 2.301135949e-11 5.993796494e-11 2.184441748e-11 1.166942011e-12 0.000000000e+00 0.000000000e+00
3.349654392e-03 2.453193708e-11 7.267777770e-11 2.054245665e-11 3.989480427e-12 0.000000000e+00 0.000000000e+00
3.981071706e-03 3.175727362e-11 9.131681440e-11 2.172540158e-11 1.003187204e-11 0.000000000e+00 0.000000000e+00
4.731512590e-03 5.484839693e-11 1.105644282e-10 3.748920432e-11 1.735919261e-11 0.000000000e+00 0.000000000e+00
5.623413252e-03 3.918795211e-11 1.366209875e-10 3.323562499e-11 5.952327120e-12 0.000000000e+00 0.000000000e+00
6.683439176e-03 8.741778567e-11 1.678083276e-10 2.995587750e-11 5.746190817e-11 0.000000000e+00 0.000000000e+00
7.943282347e-03 1.381618780e-10 2.036754994e-10 2.797608605e-11 1.101857920e-10 0.000000000e+00 0.000000000e+00
9.440608763e-03 9.451090610e-11 2.541732381e-10 2.673925073e-11 6.777165538e-11 0.000000000e+00 0.000000000e+00
1.122018454e-02 7.269337534e-11 2.721670998e-10 2.481186528e-11 4.788151006e-11 0.000000000e+00 0.000000000e+00
1.333521432e-02 6.483014828e-11 2.741112312e-10 2.018707425e-11 4.464307403e-11 0.000000000e+00 0.000000000e+00
1.584893192e-02 6.404707334e-11 2.719749473e-10 1.578768483e-11 4.825938851e-11 0.000000000e+00 0.000000000e+00
1.883649089e-02 4.926881333e-11 2.755806329e-10 1.281804500e-11 3.645076833e-11 0.000000000e+00 0.000000000e+00
2.238721139e-02 3.946995933e-11 2.733087119e-10 1.018295171e-11 2.928700762e-11 0.000000000e+00 0.000000000e+00
2.660725060e-02 3.225943616e-11 2.749815692e-10 7.789376253e-12 2.447005991e-11 0.000000000e+00 0.000000000e+00
3.162277660e-02 2.501575877e-11 2.722688276e-10 5.799319394e-12 1.921643937e-11 0.000000000e+00 0.000000000e+00
3.758374043e-02 1.888603692e-11 2.705620610e-10 4.700979595e-12 1.418505733e-11 0.000000000e+00 0.000000000e+00
4.466835922e-02 1.420216258e-11 2.737947447e-10 3.413828061e-12 1.078833451e-11 0.000000000e+00 0.000000000e+00
5.308844442e-02 7.844889390e-12 2.737156231e-10 1.790969598e-12 6.053919791e-12 0.000000000e+00 0.000000000e+00
6.309573445e-02 2.066143996e-12 2.709915785e-10 4.204628044e-13 1.645681192e-12 0.000000000e+00 0.000000000e+00
7.498942093e-02 2.874227789e-13 2.738625633e-10 5.718082130e-14 2.302419576e-13 0.000000000e+00 0.000000000e+00
8.912509381e-02 3.852014072e-13 2.716019453e-10 8.856612720e-14 2.966352800e-13 6.615746682e-38 6.251874599e-38
1.059253725e-01 1.257979694e-12 2.633297641e-10 3.008860506e-13 9.570936430e-13 4.667393293e-32 2.197552092e-31
1.258925412e-01 4.336219034e-12 2.411203297e-10 1.180971382e-12 3.155247652e-12 1.087753394e-27 3.130708414e-26
1.496235656e-01 9.175375930e-12 2.197201752e-10 3.100963868e-12 6.074412063e-12 1.242383009e-24 2.725285850e-24
1.778279410e-01 1.158761846e-11 2.004942856e-10 3.835573835e-12 7.752044619e-12 1.378393447e-22 4.526495226e-22
2.113489040e-01 5.748447934e-12 1.900548990e-10 1.767160066e-12 3.981287846e-12 5.230991609e-21 1.647275442e-20
2.511886432e-01 1.057992970e-11 1.699185314e-10 3.455331724e-12 7.124594538e-12 7.269986365e-19 2.711619764e-18
2.985382619e-01 1.746912413e-11 1.562445214e-10 6.892297674e-12 1.057670267e-11 3.584181430e-17 8.794486703e-17
3.548133892e-01 2.283339449e-11 1.435507198e-10 1.023606265e-11 1.259484202e-11 7.304734792e-16 1.759346940e-15
4.216965034e-01 2.795832433e-11 1.338607693e-10 1.435793298e-11 1.357847809e-11 7.550927176e-15 1.436233770e-14
