# column 1: wavelength (micron)
# column 2: total flux; lambda*F_lambda (W/m2)
# column 3: transparent flux; lambda*F_lambda (W/m2)
# column 4: direct primary flux; lambda*F_lambda (W/m2)
# column 5: scattered primary flux; lambda*F_lambda (W/m2)
# column 6: direct secondary flux; lambda*F_lambda (W/m2)
# column 7: scattered secondary flux; lambda*F_lambda (W/m2)
1.000000000e-03 3.407971697e-17 1.836433291e-28 9.806773802e-30 3.407971697e-17 0.000000000e+00 0.000000000e+00
1.188502227e-03 9.431555024e-17 4.302173164e-28 1.034229858e-29 9.431555024e-17 0.000000000e+00 0.000000000e+00
1.412537545e-03 1.267482473e-16 5.333321100e-28 4.015103214e-30 1.267482473e-16 0.000000000e+00 0.000000000e+00
1.678804018e-03 1.355161182e-15 6.532106222e-28 3.100377176e-30 1.355161182e-15 0.000000000e+00 0.000000000e+00
1.995262315e-03 1.027917275e-16 8.036755608e-28 7.759741947e-31 1.027917275e-16 0.000000000e+00 0.000000000e+00
2.371373706e-03 1.538322225e-16 9.910814510e-28 4.847576836e-31 1.538322225e-16 0.000000000e+00 0.000000000e+00
2.818382931e-03 9.666160704e-17 1.218508768e-27 6.495914319e-32 9.666160704e-17 0.000000000e+00 0.000000000e+00
3.349654392e-03 3.030853492e-17 1.496650893e-27 6.010954786e-33 3.030853492e-17 0.000000000e+00 0.000000000e+00
3.981071706e-03 3.204554079e-17 1.839432993e-27 2.360658931e-33 3.204554079e-17 0.000000000e+00 0.000000000e+00
4.731512590e-03 2.735887562e-14 2.268286170e-27 5.865025572e-32 2.735887562e-14 0.000000000e+00 0.000000000e+00
5.623413252e-03 7.310013231e-16 2.786051035e-27 2.952579945e-33 7.310013231e-16 0.000000000e+00 0.000000000e+00
6.683439176e-03 1.614403409e-15 3.433893867e-27 1.513690978e-34 1.614403409e-15 0.000000000e+00 0.000000000e+00
7.943282347e-03 2.374966601e-16 4.213177759e-27 1.364534249e-35 2.374966601e-16 0.000000000e+00 0.000000000e+00
9.440608763e-03 9.878220164e-17 5.188629073e-27 1.056224699e-36 9.878220164e-17 0.000000000e+00 0.000000000e+00
1.122018454e-02 3.801943768e-17 5.543976677e-27 2.452765767e-37 3.801943768e-17 0.000000000e+00 0.000000000e+00
1.333521432e-02 9.473070989e-18 5.554450679e-27 3.027593120e-38 9.473070989e-18 0.000000000e+00 0.000000000e+00
1.584893192e-02 2.741021797e-18 5.561417966e-27 2.988077461e-39 2.741021797e-18 0.000000000e+00 0.000000000e+00
1.883649089e-02 9.201340024e-20 5.556457811e-27 2.956930302e-40 9.201340024e-20 0.000000000e+00 0.000000000e+00
2.238721139e-02 2.837857459e-20 5.538347478e-27 3.568172419e-41 2.837857459e-20 0.000000000e+00 0.000000000e+00
2.660725060e-02 2.337091696e-22 5.535302174e-27 2.447873217e-42 2.337091696e-22 0.000000000e+00 0.000000000e+00
3.162277660e-02 1.716553183e-24 5.545799246e-27 1.402124129e-43 1.716553183e-24 0.000000000e+00 0.000000000e+00
